"name","code","year","forecast","B","b","C","c","d","σ","α_B","α_b","α_C","α_c","α_d","α_σ","LE","H","h","Lstar_99p9","Lstar_99","Lstar_95","Lstar_90","Lmed"
"Australia","AUS",1923,0,3.14578224520855,1.096050703122,78.2358567217065,0.079431520259083,0.00118249782074452,0.0380782099944693,NA,NA,NA,NA,NA,NA,65.9714544020444,0.242856777943907,1.41528340058325,102.287330988521,97.058568584559,91.4510576468409,87.9776056080536,71.3515271016794
"Australia","AUS",1928,0,3.15867765906656,1.12483485879921,78.5643641766652,0.0815879934550467,0.00113772957946234,0.0375760694959592,0.00295034621664787,0.0269351237203359,0.00510059273248319,0.0215203946571322,-0.0130274229387656,-0.00954698350440866,66.7457188606774,0.232979213405568,1.45680604225098,102.001087205946,96.9164170054895,91.4646578351508,88.0867954620756,71.9759384089621
"Australia","AUS",1933,0,3.18785301099396,1.16355931061575,79.0831251969328,0.0836397643509026,0.000994693820216472,0.0352728918013258,0.003489151006071,0.0320966059390778,0.00544780556317393,0.0221211520410129,-0.113095341790625,-0.0282415347548249,67.9860451945962,0.219461101153656,1.51658027787767,101.967998951937,97.023176053312,91.7323872502807,88.4599595817989,72.9253833240024
"Australia","AUS",1938,0,3.20346388923459,1.20807014103135,79.3696341174045,0.08534276416966,0.000859680756399434,0.0327963896993715,0.00261360544394299,0.036834592674417,0.0054449069671449,0.0217661203992254,-0.155012304321046,-0.0375472339616388,68.9386070682265,0.208044562276739,1.57000298052254,101.826389136945,96.9908382131685,91.825803831916,88.6377082312994,73.5740140086818
"Australia","AUS",1943,0,3.21817470936796,1.2597349778217,79.615000539336,0.087430975220257,0.000672604040121764,0.030516447276153,0.00157879008056767,0.0414181415458189,0.00597663063154856,0.02213474667066,-0.240008394042432,-0.0383486089179463,70.0418851217185,0.194327940255482,1.63820813337193,101.581735273778,96.8821201978216,91.8655205944943,88.7730370803585,74.2674621788145
"Australia","AUS",1948,0,3.2498037332617,1.3319720263576,80.4771752713335,0.0899426927760208,0.000458739519100894,0.0290032123068243,-0.000236745796373096,0.045494381306215,0.0076577646270512,0.0221771083914186,-0.331964289809358,-0.0278830047331188,71.8898852395779,0.177310834663886,1.72985095855893,101.866461666845,97.31785763248,92.4672308435158,89.4875147365067,75.6202477695062
"Australia","AUS",1953,0,3.22836367278679,1.38823016048902,81.2927372468556,0.0924407370095836,0.000347741100092882,0.0284015833959038,-0.00506805428679259,0.0460077708501378,0.0082087335702266,0.0201912390410884,-0.269482564967391,-0.00995654859311813,73.2651741394,0.166243686782217,1.79430057440972,102.126591803539,97.709128126742,93.0061865684493,90.1157569526888,76.7286859349453
"Australia","AUS",1958,0,3.19663764072969,1.45864724965829,82.0985318790092,0.0939943324653421,0.00028390559155527,0.0288777883342564,-0.0088223702581185,0.0490496922165764,0.00788129469567978,0.015979210061017,-0.193262339849234,0.00898213761943427,74.4552640880994,0.158514804058018,1.84190728904513,102.604542373146,98.2643939414236,93.6470338156073,90.81306662448,77.7115571557354
"Australia","AUS",1963,0,3.1500211291167,1.53787104913161,82.4676338464856,0.0941988451936466,0.000258735610946359,0.0299532741547628,-0.0124894266098918,0.0511390405416136,0.00673127602709559,0.011415178874588,-0.1063343088726,0.0234978834806181,75.0141795333207,0.155202557853768,1.86302419035347,102.927203454284,98.5991742503375,93.9979857371806,91.1748113414783,78.1450586003039
"Australia","AUS",1968,0,3.08524048455681,1.62135998431459,82.5860892641714,0.0943473880771215,0.000247358893132368,0.0312599559712072,-0.0158033632176034,0.0532170063483586,0.00652751879583214,0.0103094884806209,-0.0662434023101333,0.0335033925734663,75.2578067688362,0.153234086973402,1.87578854660192,103.021833289958,98.7045206915502,94.1143466599458,91.2964209846911,78.3014941983684
"Australia","AUS",1973,0,3.02053044959094,1.71830334881815,83.4244248585447,0.0953702358536566,0.000230606916244673,0.0326678326197843,-0.0171360015077117,0.0556804408017468,0.0085987378418337,0.0115685134772109,-0.0781304458698868,0.0413088467146964,76.271223746352,0.148675333817655,1.90599031810763,103.640010959024,99.3703976900336,94.832022150475,92.0478468586774,79.2204305488856
"Australia","AUS",1978,0,2.96934720760415,1.83336304796661,84.6666978544438,0.0968380549607371,0.000206357363408875,0.0339854576820451,-0.0184391461527278,0.0582192492219171,0.0100169807551669,0.013181639748747,-0.104942494972025,0.0470611507911267,77.7414364019065,0.142502605796389,1.94839499315024,104.587060465593,100.378937610173,95.9133344765497,93.1761274033618,80.5672328679208
"Australia","AUS",1983,0,2.90352304221097,1.9454170994838,85.5755510263334,0.0986776931385456,0.000183098123576582,0.0360184454342797,-0.0198115435983718,0.0584414393228223,0.00962303093899986,0.0139878890506952,-0.111961656015195,0.0563773582380442,78.8773152709364,0.136923673408705,1.98833163681133,105.128040883555,101.003527092313,96.6228749107023,93.935143812509,81.5928769947479
"Australia","AUS",1988,0,2.83759475000545,2.06597751326696,86.2349517274459,0.100143856215192,0.000167363393172438,0.0386776067302439,-0.0213876711137549,0.0584055113975814,0.00873675691448808,0.0132998392460351,-0.0936239881749408,0.0652859860545213,79.7114227885066,0.132747995621533,2.01930271789538,105.496572085749,101.435566606082,97.1230435119262,94.4784457591742,82.3375556092698
"Australia","AUS",1993,0,2.77645613842727,2.19629542242276,87.0283855362717,0.101513459186675,0.00015521147833963,0.0412269846584151,-0.0227250084204563,0.0582879099656136,0.00831664973672773,0.0120168966346091,-0.083829104883332,0.0749245220438335,80.6493976259184,0.12888727849609,2.04881706672289,106.038811745775,102.034970261045,97.7784741562504,95.1698538325486,83.2009412835312
