"code","name","years","year","age","mx","mx_f","mx_m","lx","lx_f","lx_m","ex","ex_f","ex_m","Total","Male","Female","best_practice","best_practice_alt"
"AUT","Austria","(2005,2010]",2008,35,0.000608,0.000362,0.000858,0.984462,0.989706,0.979366,46.226,48.586,43.64,119925.8,59650,60275.8,0,1
"BEL","Belgium","(1840,1845]",1843,76,0.10216,0.098872,0.105914,0.152866,0.1554,0.149498,6.386,6.524,6.224,9992.914,4691.686,5301.228,0,1
"BEL","Belgium","(1840,1845]",1843,77,0.110718,0.107296,0.114642,0.138018,0.14077,0.134472,6.018,6.15,5.864,8821.978,4137.568,4684.41,0,1
"BEL","Belgium","(1840,1845]",1843,78,0.11952,0.11617,0.123382,0.123566,0.126454,0.119934,5.662,5.79,5.516,7877.94,3685.128,4192.812,0,1
"BEL","Belgium","(1840,1845]",1843,79,0.13129,0.12793,0.135156,0.109634,0.11257,0.106012,5.318,5.446,5.172,6599.53,3079.99,3519.54,0,1
"BEL","Belgium","(1880,1885]",1883,6,0.005976,0.006248,0.0057,0.755506,0.767846,0.743766,53.07,54.094,52.106,128425.642,64663.868,63761.774,0,1
"BEL","Belgium","(1880,1885]",1883,7,0.004844,0.004934,0.004754,0.75101,0.763062,0.73954,52.388,53.428,51.402,127511.214,64113.552,63397.662,0,1
"BEL","Belgium","(1895,1900]",1898,10,0.002352,0.002308,0.0024,0.759264,0.773176,0.746046,52.34,53.528,51.192,129951.586,65198.208,64753.378,0,1
"BEL","Belgium","(1895,1900]",1898,11,0.002212,0.002296,0.002132,0.75748,0.7714,0.744256,51.462,52.65,50.314,129638.214,65000.836,64637.378,0,1
"BGR","Bulgaria","(1945,1950]",1948,87,0.1685725,0.158265,0.1799175,0.0845875,0.0979575,0.07199,4.74,4.8375,4.635,3386.6475,1607.7175,1778.93,0,1
"BGR","Bulgaria","(1945,1950]",1948,89,0.182095,0.175545,0.18922,0.06014,0.07068,0.0503925,4.305,4.3625,4.2475,2047.2075,981.035,1066.1725,0,1
"BGR","Bulgaria","(1945,1950]",1948,92,0.2261825,0.21934,0.23407,0.0322675,0.038205,0.026795,3.8525,3.9075,3.7925,1018.555,472.6725,545.8825,0,1
