"code","name","years","year","age","mx","mx_f","mx_m","lx","lx_f","lx_m","ex","ex_f","ex_m","Hx","Hx_f","Hx_m","Total","Male","Female","best_practice","best_practice_alt"
"HKG","Hong Kong","(2010,2015]",2013,99,0.294682,0.280006,0.356658,0.067208,0.10193,0.029666,2.834,2.928,2.458,0.79444948153794,0.781723151746347,0.832248829395358,822.084,154.38,667.704,1,1
"HKG","Hong Kong","(2010,2015]",2013,100,0.322738,0.30897,0.385304,0.049986,0.076958,0.020698,2.644,2.718,2.312,0.794463628188191,0.78415133228507,0.831298153444834,554.194,97.274,456.92,1,1
"HKG","Hong Kong","(2010,2015]",2013,101,0.352288,0.339516,0.414772,0.036128,0.056412,0.01402,2.466,2.526,2.18,0.790547835524562,0.781453659374819,0.825141493513749,364.32,60.014,304.306,1,1
"HKG","Hong Kong","(2010,2015]",2013,102,0.383164,0.371456,0.44486,0.025336,0.040084,0.009212,2.308,2.354,2.054,0.777618679125581,0.77030827924389,0.814346281287744,233.754,35.338,198.416,1,1
"HKG","Hong Kong","(2010,2015]",2013,103,0.415158,0.40456,0.475358,0.01721,0.027562,0.005862,2.164,2.2,1.944,0.753628879885625,0.747269287987453,0.790953107281251,144.784,20.11,124.674,1,1
"HKG","Hong Kong","(2010,2015]",2013,104,0.448032,0.438554,0.506032,0.01131,0.018316,0.003614,2.032,2.064,1.844,0.713559392021012,0.706496754550237,0.751138623725388,86.35,11.386,74.964,1,1
"HKG","Hong Kong","(2010,2015]",2013,105,0.481494,0.473138,0.536664,0.00718,0.011746,0.002158,1.914,1.938,1.756,0.648267901561601,0.642335485596353,0.685247861558682,50.124,6.078,44.046,1,1
"HKG","Hong Kong","(2010,2015]",2013,106,0.515246,0.507976,0.567014,0.004402,0.007266,0.001248,1.81,1.83,1.678,0.546831038801924,0.54121521431013,0.582550766284274,28.406,3.004,25.402,1,1
"HKG","Hong Kong","(2010,2015]",2013,107,0.548974,0.54274,0.596868,0.002602,0.004332,0.000696,1.718,1.736,1.606,0.398094241423624,0.393422347617296,0.430021010424631,15.322,1.262,14.06,1,1
"HKG","Hong Kong","(2010,2015]",2013,108,0.582358,0.57709,0.626018,0.001484,0.002486,0.000374,1.646,1.658,1.546,0.199796193054299,0.19746190073882,0.219029379049724,7.708,0.326,7.382,1,1
"HKG","Hong Kong","(2010,2015]",2013,109,0.615096,0.610712,0.654278,0.000816,0.001376,0.000196,1.582,1.592,1.498,0,0,0,3.648,0,3.648,1,1
"HKG","Hong Kong","(2015,2020]",2018,0,0.0017325,0.00168,0.0017825,1,1,1,84.81,87.7925,81.795,0.120950995829553,0.106724209043419,0.127794415137552,52150,27025,25125,1,0
"HKG","Hong Kong","(2015,2020]",2018,1,0.0001675,0.000145,0.0001875,0.9982675,0.99832,0.99822,83.955,86.94,80.94,0.120650517960311,0.106261081948245,0.127582047673642,54712.5,28450,26262.5,1,0
"HKG","Hong Kong","(2015,2020]",2018,2,0.0001225,0.0001125,0.0001375,0.9981025,0.99818,0.998035,82.97,85.9525,79.955,0.121936743577037,0.107355927975885,0.12899121991983,55425,28775,26650,1,0
"HKG","Hong Kong","(2015,2020]",2018,3,0.0001075,8.25e-05,0.0001375,0.997975,0.998065,0.997895,81.9825,84.9625,78.9675,0.123292746546392,0.108503488033135,0.130481425473117,56912.5,29512.5,27400,1,0
"HKG","Hong Kong","(2015,2020]",2018,4,0.0001225,0.000165,8.5e-05,0.9978675,0.9979875,0.9977575,80.99,83.9725,77.9775,0.124708710572768,0.109713116055811,0.132017541238242,59375,30600,28775,1,0
"HKG","Hong Kong","(2015,2020]",2018,5,6e-05,7.5e-05,4.75e-05,0.9977425,0.9978175,0.9976725,80,82.9825,76.9825,0.126141745559983,0.110869559683769,0.133649513774103,61187.5,31550,29637.5,1,0
"HKG","Hong Kong","(2015,2020]",2018,6,9e-05,6.75e-05,0.000115,0.997685,0.9977475,0.99763,79.005,81.9875,75.9875,0.12767976019598,0.112152365164853,0.135362443236001,61887.5,32087.5,29800,1,0
"HKG","Hong Kong","(2015,2020]",2018,7,6.5e-05,5e-05,7.75e-05,0.9975925,0.9976775,0.997515,78.01,80.995,74.995,0.129226965401419,0.113464039501155,0.137053621636122,61387.5,31950,29437.5,1,0
"HKG","Hong Kong","(2015,2020]",2018,8,6e-05,5.25e-05,6.75e-05,0.9975275,0.9976275,0.9974375,77.015,79.9975,74.0025,0.130839469747001,0.114834167905753,0.138824316826666,58787.5,30562.5,28225,1,0
"HKG","Hong Kong","(2015,2020]",2018,9,6e-05,4.5e-05,7.5e-05,0.99747,0.99758,0.9973725,76.0225,79.0025,73.0075,0.132497245261036,0.116238075865645,0.140659873303688,56275,29087.5,27187.5,1,0
"HKG","Hong Kong","(2015,2020]",2018,10,6.75e-05,8.5e-05,5e-05,0.99741,0.9975325,0.997295,75.025,78.005,72.015,0.134206395067598,0.117682173574414,0.142531264805198,54800,28200,26600,1,0
"HKG","Hong Kong","(2015,2020]",2018,11,8.25e-05,0.0001025,6.25e-05,0.997345,0.99745,0.997245,74.0325,77.0125,71.0175,0.135948860266984,0.11912542516006,0.144489993505509,54650,27825,26825,1,0
"HKG","Hong Kong","(2015,2020]",2018,12,0.0001075,8.5e-05,0.000135,0.9972625,0.99735,0.9971875,73.0375,76.02,70.02,0.137729025614763,0.1205918868631,0.146498766285248,53987.5,27550,26437.5,1,0
"HKG","Hong Kong","(2015,2020]",2018,13,8.5e-05,5.75e-05,0.0001125,0.997155,0.997265,0.997055,72.0425,75.0275,69.03,0.139537747523565,0.122111758697855,0.148485696710095,52300,26725,25575,1,0
"HKG","Hong Kong","(2015,2020]",2018,14,0.0001175,9.75e-05,0.00014,0.9970675,0.997205,0.99694,71.0525,74.0325,68.035,0.141406028393536,0.123699824861986,0.150558456122505,52850,26987.5,25862.5,1,0
