"code","name","year","age","mx","mx_f","mx_m","lx","lx_f","lx_m","ex","ex_f","ex_m","Total","Male","Female","best_practice","best_practice_alt"
"BLR","Belarus",1964,0,0.02531,0.02116,0.02923,1,1,1,73.53,76.67,69.39,170154.37,87865.01,82289.36,1,0
"BLR","Belarus",1964,1,0.00275,0.00271,0.00279,0.97524,0.97923,0.9715,74.39,77.29,70.43,180199.98,92184.5,88015.48,1,0
"BLR","Belarus",1964,2,0.00127,0.00112,0.00141,0.97256,0.97658,0.96879,73.59,76.5,69.62,188662.77,96285.24,92377.53,1,0
"BLR","Belarus",1964,3,0.00087,0.00066,0.00107,0.97133,0.97549,0.96743,72.69,75.59,68.72,194133.57,99436.56,94697.01,1,0
"BLR","Belarus",1964,4,0.00053,0.00044,0.00062,0.97048,0.97484,0.96639,71.75,74.64,67.79,195354.99,100394.9,94960.09,1,0
"BLR","Belarus",1964,5,0.00054,0.00035,0.00072,0.96996,0.97441,0.96579,70.79,73.67,66.83,192910.39,98295.35,94615.04,1,0
"BLR","Belarus",1964,6,0.00055,0.00039,0.00071,0.96944,0.97407,0.96509,69.83,72.69,65.88,189266.58,96651.75,92614.83,1,0
"BLR","Belarus",1964,7,0.00042,0.00035,5e-04,0.9689,0.97368,0.96441,68.86,71.72,64.93,187365.01,95677.77,91687.24,1,0
"BLR","Belarus",1964,8,0.00043,0.00029,0.00057,0.96849,0.97335,0.96393,67.89,70.75,63.96,183034.14,93466.2,89567.94,1,0
"BLR","Belarus",1964,9,0.00046,0.00026,0.00065,0.96807,0.97307,0.96338,66.92,69.77,63,176128.16,90021.26,86106.9,1,0
"BLR","Belarus",1964,10,0.00053,0.00037,0.00068,0.96762,0.97281,0.96275,65.95,68.78,62.04,159584.29,81229.24,78355.05,1,0
"BLR","Belarus",1964,11,0.00044,0.00033,0.00054,0.96712,0.97246,0.9621,64.99,67.81,61.08,160187.42,81786.02,78401.4,1,0
"BLR","Belarus",1964,12,0.00057,0.00047,0.00068,0.96669,0.97213,0.96157,64.02,66.83,60.11,158441.86,81484.49,76957.37,1,0
"BLR","Belarus",1964,13,5e-04,0.00051,0.00049,0.96614,0.97168,0.96092,63.05,65.86,59.15,158975.71,81524.37,77451.34,1,0
"BLR","Belarus",1964,14,0.00053,4e-04,0.00066,0.96565,0.97119,0.96045,62.08,64.9,58.18,158241.08,80227.03,78014.05,1,0
"BLR","Belarus",1964,15,0.00053,0.00034,0.00072,0.96514,0.9708,0.95982,61.12,63.92,57.22,151225.27,76455.84,74769.43,1,0
"BLR","Belarus",1964,16,0.00086,6e-04,0.0011,0.96463,0.97047,0.95913,60.15,62.94,56.26,139404.17,70408.03,68996.14,1,0
"BLR","Belarus",1964,17,0.00092,0.00068,0.00115,0.9638,0.96988,0.95807,59.2,61.98,55.32,124299.05,63045.52,61253.53,1,0
"BLR","Belarus",1964,18,0.00081,0.00039,0.00122,0.96292,0.96922,0.95697,58.25,61.02,54.39,85790.98,43539.06,42251.92,1,0
"BLR","Belarus",1964,19,0.00083,0.00046,0.00119,0.96214,0.96884,0.95581,57.3,60.05,53.45,98954.79,49445.93,49508.86,1,0
"BLR","Belarus",1964,20,0.00132,0.00069,0.00195,0.96134,0.9684,0.95467,56.35,59.07,52.51,86350.93,42903.04,43447.89,1,0
"BLR","Belarus",1964,21,0.00085,0.00067,0.00104,0.96007,0.96772,0.95281,55.42,58.12,51.62,110050.22,54354.75,55695.47,1,0
"BLR","Belarus",1964,22,0.00132,0.00101,0.00164,0.95926,0.96707,0.95182,54.47,57.15,50.67,131623.25,64044.37,67578.88,1,0
"BLR","Belarus",1964,23,0.00133,0.00074,0.00196,0.95799,0.96609,0.95027,53.54,56.21,49.75,143726.18,69260.28,74465.9,1,0
"BLR","Belarus",1964,24,0.0012,0.00089,0.00154,0.95672,0.96538,0.94841,52.61,55.25,48.85,147694.88,70843.44,76851.44,1,0
"BLR","Belarus",1964,25,0.00116,0.00064,0.00173,0.95557,0.96452,0.94695,51.67,54.3,47.92,158680,73898.14,84781.86,1,0
"BLR","Belarus",1964,26,0.00128,0.00076,0.00185,0.95446,0.9639,0.94532,50.73,53.34,47,153362.6,73673.63,79688.97,1,0
"BLR","Belarus",1964,27,0.00142,0.00085,0.00206,0.95325,0.96317,0.94357,49.8,52.38,46.09,155000.03,71989.2,83010.83,1,0
"BLR","Belarus",1964,28,0.00162,0.00097,0.00236,0.95189,0.96235,0.94163,48.87,51.42,45.18,138389.91,65692,72697.91,1,0
"BLR","Belarus",1964,29,0.00149,0.00096,0.0021,0.95035,0.96142,0.93941,47.95,50.47,44.29,126951.32,59312.79,67638.53,1,0
