"code","year","name","b","B","c","C","d","σ","ex","Hx","LE_mod","H_mod","LE_b","LE_B","LE_c","LE_C","LE_d","H_b","H_B","H_c","H_C","H_d","Delta_b","Delta_B","Delta_c","Delta_C","Delta_d","Delta_σ","Delta_ex","Delta_Hx","Delta_LE_mod","Delta_H_mod"
"BEL",1903,"Belgium",0.99581967297501,2.05522978529412,0.0781873842592176,106.396735573774,0.00259195543655507,0.0378584081121504,49.422,0.472140784400669,54.1619192119866,0.384681403485976,13.9227901793107,6.79830448574537,400.252283511911,0.726539486403878,-1819.45829226546,-0.253871160865997,-0.124239076764094,-3.46775929559989,-0.00135082206828458,26.5834771438222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEL",1908,"Belgium",1.00754874775896,2.04860075127066,0.0791112778815188,105.998690134673,0.00233025519746687,0.0382986889284317,50.486,0.451006504779904,54.9924365412717,0.371888008697138,13.6977730706373,6.78732722208491,395.988355063255,0.742533976435971,-1857.56867090386,-0.246167766801473,-0.122231861525993,-3.39805934320778,-0.00142903271241785,26.9157437560155,0.0117290747839546,-0.00662903402346071,0.000923893622301247,-0.398045439101409,-0.000261700239088201,0.000440280816281315,1.064,-0.0211342796207658,0.830517329285094,-0.0127933947888382
"BEL",1913,"Belgium",1.0471746816979,2.03284440773952,0.0802969960881262,105.488646186043,0.00228817829952203,0.0395841926595347,51.3266666666667,0.436309476075272,55.9184046640289,0.356131092243766,12.4850299381336,6.47564112425837,387.103751314335,0.754443116007932,-1894.39244509727,-0.220853539875412,-0.114764558016428,-3.25250926249147,-0.00141463866805076,27.1162440827441,0.0396259339389324,-0.015756343531141,0.00118571820660743,-0.510043948629232,-4.20768979448372e-05,0.00128550373110298,0.840666666666706,-0.0146970287046317,0.925968122757205,-0.0157569164533722
"BEL",1918,"Belgium",1.08565274735807,2.01056569169325,0.0813155829864662,106.063500500945,0.00330441228879993,0.0422204137438511,51.635,0.435944379079447,55.4127377289932,0.3707531282466,11.1885790524024,6.08093932370972,354.796972287656,0.710396599171259,-1878.38914514253,-0.199638912262667,-0.108709719692653,-2.82195610242429,-0.000915030457809871,26.8385039694131,0.0384780656601691,-0.0222787160462676,0.00101858689833997,0.574854314901472,0.0010162339892779,0.00263622108431637,0.308333333333294,-0.000365096995824987,-0.505666935035642,0.0146220360028337
"BEL",1923,"Belgium",1.21831031871245,1.99401686483163,0.0814913696056819,106.591620423606,0.00210609728765372,0.0430316379346186,56.214,0.363282092948356,60.0308421707578,0.306402587197437,8.41394522670943,5.16549225404641,390.571111941967,0.794955000660433,-2088.52699535729,-0.139025615727379,-0.0854539228024295,-3.02582516722194,-0.00138271945525348,28.1605861768416,0.132657571354386,-0.0165488268616245,0.000175786619215704,0.528119922661574,-0.00119831500114621,0.000811224190767505,4.579,-0.0726622861310907,4.61810444176452,-0.0643505410491623
"BEL",1928,"Belgium",1.29084416710451,1.95655552481457,0.0816234848068599,106.36766678676,0.00203536843144078,0.0418264553529249,56.716,0.353473926417733,60.6706178140219,0.294382360351217,7.16199422832896,4.74539747055697,394.970342192306,0.80734035659074,-2109.26550519359,-0.11716297549087,-0.0777121789306908,-3.04233676507548,-0.00142314418411532,28.1828127018591,0.0725338483920608,-0.0374613400170627,0.000132115201177938,-0.223953636846431,-7.07288562129356e-05,-0.00120518258169372,0.502000000000002,-0.00980816653062333,0.639775643264173,-0.0120202268462198
"BEL",1933,"Belgium",1.39108395875685,1.9318515945014,0.0823211385298447,106.549795302932,0.00172152416104092,0.0408228753097936,59.178,0.319098573410415,62.6256799396041,0.270570020891423,5.77402850116937,4.17261260722424,398.739235688631,0.835737290142662,-2203.24066878281,-0.0916063491789942,-0.0662547404436822,-2.99968135662125,-0.00151523032088914,28.74851017701,0.10023979165234,-0.0247039303131618,0.000697653722984873,0.18212851617217,-0.000313844270399858,-0.00100358004313126,2.462,-0.0343753530073176,1.9550621255822,-0.0238123394597949
"BEL",1938,"Belgium",1.47478603039869,1.90435566700639,0.0826233583642483,106.099618908483,0.00181531460596194,0.0409705011748937,59.198,0.316359462895384,62.6845160993935,0.265283435708292,4.76511217295999,3.70196558925519,396.43850855506,0.837424044313993,-2194.41469657909,-0.0755513258063873,-0.0587387432440076,-2.97140045110319,-0.00148733671912779,28.5751191857593,0.0837020716418406,-0.0274959274950155,0.000302219834403608,-0.450176394449045,9.37904449210165e-05,0.000147625865100115,0.0200000000000031,-0.00273911051503106,0.0588361597893794,-0.00528658518313091
"BEL",1943,"Belgium",1.5398481677065,1.87636309735372,0.0833043637900059,105.875526025548,0.00206678355469792,0.0403055789756289,58.676,0.324665879209437,62.5703446751406,0.266291985609569,4.1424808092494,3.40950107005464,384.212835246858,0.827129830292856,-2186.3884335709,-0.0658049263258857,-0.0541991134388163,-2.84015173987203,-0.00135819606482333,28.4660758170355,0.0650621373078084,-0.0279925696526651,0.000681005425757594,-0.224092882935153,0.000251468948735982,-0.000664922199264832,-0.521999999999998,0.00830641631405288,-0.114171424252952,0.00100854990127697
"BEL",1948,"Belgium",1.68437870543168,1.88515871090622,0.0851823110561805,106.361831093247,0.000833225532032617,0.0406303236846957,64.392,0.252730672203038,67.4872670915834,0.213167733892194,3.09180762321624,2.76857222934161,395.962584170218,0.911916696895552,-2444.67054090994,-0.045616875602486,-0.0408652910650865,-2.83417468130703,-0.00178234947656645,30.2809240743182,0.144530537725177,0.00879561355249203,0.00187794726617461,0.486305067698993,-0.00123355802266531,0.000324744709066814,5.71599999999999,-0.0719352070063993,4.91692241644287,-0.0531242517173742
"BEL",1953,"Belgium",1.81932199161561,1.89881833536217,0.0890195755914126,105.940063300773,0.000398252082663907,0.0406386528238177,68.038,0.205171079761765,70.5713013032733,0.182950433804319,2.28436667981647,2.19251174902627,367.864227630808,0.94925826112444,-2617.5550058819,-0.0322598722278946,-0.0309718283171195,-2.52848986688121,-0.00183159244691962,31.522111015564,0.134943286183931,0.0136596244559568,0.00383726453523209,-0.421767792474327,-0.00043497344936871,8.32913912195143e-06,3.646,-0.0475595924412727,3.08403421168985,-0.0302173000878754
"BEL",1958,"Belgium",1.95447521070137,1.90828301019325,0.0907673437987531,105.916632990085,0.00036586254802866,0.0410548049074481,69.576,0.189305846325697,71.8055219314741,0.172610844917807,1.65302937540295,1.69543292434669,353.204981414968,0.956947095281701,-2689.7893196754,-0.0229507668761889,-0.0235449636432687,-2.37265679825992,-0.00177656902236594,31.9957062649339,0.135153219085755,0.00946467483108027,0.00174776820734043,-0.0234303106872034,-3.23895346352471e-05,0.000416152083630453,1.538,-0.0158652334360676,1.23422062820087,-0.0103395888865122
"BEL",1963,"Belgium",2.06782992285702,1.91147323447617,0.0910018095587941,106.002659679844,0.000336659802428878,0.0418267205969204,70.404,0.180576378392725,72.286293946969,0.168020294087603,1.26143915616165,1.36627399256141,352.672915925553,0.961948609259384,-2715.44837128328,-0.0174003626022276,-0.018850159051109,-2.35391512099964,-0.00177758408449685,32.126084958391,0.113354712155656,0.00319022428292226,0.000234465760040992,0.0860266897585262,-2.92027455997818e-05,0.000771915689472283,0.828000000000003,-0.00872946793297222,0.48077201549485,-0.00459055083020385
"BEL",1968,"Belgium",2.132892130827,1.91839355830202,0.0914293379375905,105.996210716701,0.00033272995594885,0.0431573687462991,70.752,0.175237170195746,72.5892492249108,0.16545371428317,1.07278446812936,1.19405241004836,349.240591133813,0.963754168401332,-2733.027769666,-0.0147376330977956,-0.0164064977580448,-2.31801175267957,-0.00176309950888629,32.2353931835757,0.0650622079699748,0.00692032382584706,0.000427528378796421,-0.00644896314270227,-3.92984648002855e-06,0.00133064814937874,0.347999999999999,-0.00533920819697978,0.302955277941805,-0.00256657980443348
"BEL",1973,"Belgium",2.21529009203072,1.93422494577383,0.091558650673867,106.34403800841,0.000318303505255349,0.0449714582345826,71.612,0.168813996659652,73.139189927513,0.162483323695655,0.865351763840911,0.992070542880329,348.788963811741,0.9663895713254,-2768.42964751209,-0.0117999053575786,-0.0135299539839682,-2.29422489948932,-0.00174895568650558,32.4466927061127,0.0823979612037258,0.0158313874718106,0.000129312736276532,0.347827291708739,-1.44264506935007e-05,0.00181408948828343,0.859999999999999,-0.00642317353609329,0.549940702602214,-0.00297039058751422
"BEL",1978,"Belgium",2.29818414211863,1.95295763232793,0.0912785524496174,107.074799235868,0.000275827369189625,0.0460236869483068,72.8,0.162856759745773,73.9338558560544,0.159181314545863,0.694980663260374,0.818544072557213,352.60168215398,0.970685710284475,-2822.03445078679,-0.00937599089716716,-0.0110444941426614,-2.29370122866671,-0.00174655958989884,32.7631790323945,0.0828940500879098,0.0187326865540975,-0.000280098224249653,0.730761227457634,-4.2476136065724e-05,0.00105222871372423,1.188,-0.00595723691387959,0.794665928541406,-0.00330200914979209
"BEL",1983,"Belgium",2.39122760002454,1.97701408127818,0.0913172062721099,107.788392796709,0.000214669057901525,0.0470420103440557,74.05,0.155532889522318,74.9081871090702,0.154659843004888,0.539559353224357,0.653099408807126,353.869715385514,0.976380789401824,-2888.05861148856,-0.00718553414684768,-0.00869860593048741,-2.27139847148504,-0.00174209993876012,33.1709735704033,0.093043457905909,0.0240564489502519,3.86538224925459e-05,0.713593560841815,-6.11583112881001e-05,0.00101832339574892,1.25,-0.00732387022345421,0.974331253015819,-0.0045214715409756
"BEL",1988,"Belgium",2.45338044263216,2.00117387351401,0.0913532826713793,108.642925941732,0.000171667893425234,0.0497143746394224,75.452,0.150299031827474,75.9382589267779,0.150975955197886,0.449937178933897,0.55198802821385,354.538291705309,0.980356051901648,-2961.40989715313,-0.00591137865579904,-0.00725289459556073,-2.24080295990756,-0.00172377409984829,33.6287647430351,0.0621528426076168,0.0241597922358259,3.60763992694468e-05,0.854533145022742,-4.30011644762911e-05,0.00267236429536671,1.402,-0.00523385769484414,1.03007181770768,-0.00368388780700155
