parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1903,1.7964698141184914,1.3160538642764172,1.7931914930186514,2.502444763150205,0,Float64,0.13791367790122694,2.087653676970221,1.5428296081079338,1.9346596085115009,1.6593218069494207,1.880720217100304,1.7035212049289337,0.002128363860797507,1197.0324991229684,1.0016701581108287,0.09997951178272647
B,1908,1.7996610631786958,1.3844451798683046,1.7925804897229036,2.370105778359667,0,Float64,0.12968528222900966,2.0711835014610305,1.5569208826564707,1.9295150458450272,1.671018639511992,1.881424958084812,1.711807445450517,0.0022035930522413204,1086.5499951075415,1.0022209905916322,0.09075170316425657
B,1913,1.7912904556304334,1.3708230432602904,1.7849307707524287,2.2802392268146487,0,Float64,0.12368627646041414,2.051586983260403,1.5546862988835999,1.9163597314827499,1.6672836940189948,1.868833730222133,1.7109321997846403,0.002199459240456578,1002.8544926972335,1.0025589756662485,0.08376122005245845
B,1918,1.7780527165519535,1.3942022285274058,1.775084232191665,2.25144233256079,0,Float64,0.1174783838986032,2.0202445809766414,1.5509002521714927,1.8974553148550755,1.6618511214498144,1.8517165756928686,1.7009259720827665,0.0021748765621554117,971.7169938981356,1.0030410320143066,0.08116052881780114
B,1923,1.7658575213235335,1.3772353258567063,1.7606539179373089,2.2263619814881266,0,Float64,0.11174628396037321,1.9998478646569828,1.5556145049149903,1.8798385300932874,1.6540108410137273,1.8364200990885093,1.6908796963314594,0.002125111927082513,884.6958547546784,1.00396016625943,0.0738922791982511
B,1928,1.753620113086021,1.4099957537825776,1.7499350156562157,2.16822827186503,0,Float64,0.10717815250822534,1.9757917961678226,1.5468497566987147,1.861594695921611,1.6464914572553468,1.8191891751445546,1.6843689574208356,0.002092983705397254,875.6449836926062,1.0035964844439387,0.07313632506111832
B,1933,1.7460110500870891,1.3982880284877772,1.7425469001211071,2.188728907654327,0,Float64,0.10404672295971965,1.956990119119544,1.551252887033411,1.8530503538956957,1.6426644077888646,1.8122478263305692,1.6764701426649995,0.0020153717173467963,873.7334527059178,1.003944484324811,0.07297666863161731
B,1938,1.7440337263639167,1.3908811397472298,1.74247586161805,2.1562961185677487,0,Float64,0.1038913396844943,1.9623957519681121,1.5464122319178366,1.8498829775816126,1.6397887153448552,1.8086577289395858,1.6749638096167732,0.002138382742337696,820.2526958504686,1.004798486689859,0.06850980581536453
B,1943,1.7486853638088558,1.4290838431018378,1.747298796884647,2.1709149458067025,0,Float64,0.10244096635646556,1.9625433924220275,1.5522005181203118,1.8508373902647417,1.6456030978961684,1.8135499045585926,1.679982824627266,0.0019739642487283876,825.5607704417786,1.0039778194344289,0.0689531510934036
B,1948,1.7544253598140176,1.4001857983673658,1.752224901444986,2.148147131940576,0,Float64,0.10071995328063442,1.9644426691378178,1.5632530581886375,1.856646053285399,1.6508618566992734,1.8186292040301264,1.6849992451641373,0.0018800690975311282,854.9612307051972,1.0031194933887457,0.0714087599974874
B,1953,1.751885011483691,1.3979212089442203,1.7491779459397903,2.128427027305919,0,Float64,0.09951939561425435,1.9534848889424759,1.5613527201658315,1.853725114544412,1.650014965485621,1.817260052045663,1.6855215559363546,0.0020154030106042694,765.0137800431854,1.003394215311393,0.06389609663214213
B,1958,1.742644433275055,1.3998617271615539,1.7406914772987072,2.1230466033930915,0,Float64,0.09879767702904517,1.9412283795606873,1.5474265682951458,1.8435008943255191,1.6434723771724364,1.8045676028966455,1.6785129082419818,0.0021815243400726382,696.1825528897159,1.0041064873280354,0.05814711948135311
B,1963,1.7362033273267934,1.4072029877692909,1.7364934022974543,2.1553594000672276,0,Float64,0.09815840259106168,1.9302308345168135,1.5403777708187816,1.8368018641606665,1.636462226430628,1.8009021334947872,1.6704953510520402,0.0021976914108755774,691.762412078867,1.003573171244153,0.05777793692314908
B,1968,1.7365690807829024,1.3477128170959454,1.736596461352818,2.090147835652155,0,Float64,0.09909231996210428,1.9339990839156413,1.5397635093766142,1.8375531790116189,1.6346951569088197,1.8012054960394621,1.6725743466371759,0.002287030513095815,644.8866379507098,1.0041182088102703,0.05386274079004136
B,1973,1.7425445940118027,1.3088317150953224,1.7403596162852735,2.126146952202722,0,Float64,0.0979537134842777,1.9364830375598154,1.552191791573961,1.8463708171001565,1.6423861535109288,1.8054931061224455,1.6778603330388597,0.0022943344457561675,615.7114002322481,1.004682438804437,0.051425943104620175
