Chile, Population size (abridged)	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1993         104                21.82            5.79           27.61
  1993         105                11.92            4.66           16.58
  1993         106                 6.68            4.79           11.47
  1993         107                 2.99            0.89            3.88
  1993         108                 1.92            0.55            2.47
  1993         109                 1.46            1.45            2.91
  1993         110+                3.00            1.00            4.00
  1994           0            133162.33       139441.04       272603.37
  1994           1            135758.13       141601.30       277359.43
  1994           2            137052.39       143254.61       280307.00
  1994           3            135294.35       141371.91       276666.26
  1994           4            141625.46       147467.11       289092.57
  1994           5            144720.19       150870.01       295590.20
  1994           6            146178.42       152900.92       299079.34
  1994           7            128178.13       132505.49       260683.62
  1994           8            122132.04       125976.38       248108.42
  1994           9            119752.56       124219.85       243972.41
  1994          10            120019.69       123996.63       244016.32
  1994          11            125439.13       128755.93       254195.06
  1994          12            127934.07       131742.03       259676.10
  1994          13            120814.47       125580.05       246394.52
  1994          14            118722.03       121878.31       240600.34
  1994          15            115583.19       117983.12       233566.31
  1994          16            115581.78       119472.90       235054.68
  1994          17            113478.27       116140.07       229618.34
  1994          18            118591.88       121364.39       239956.27
  1994          19            124098.98       127712.99       251811.97
  1994          20            125172.72       128207.71       253380.43
  1994          21            122252.13       121138.13       243390.26
  1994          22            121747.82       119524.09       241271.91
  1994          23            119825.64       118926.89       238752.53
  1994          24            120794.26       119570.40       240364.66
  1994          25            122622.78       119859.57       242482.35
  1994          26            123461.06       119840.49       243301.55
  1994          27            123543.80       118707.48       242251.28
  1994          28            125985.10       120848.67       246833.77
  1994          29            127189.02       122373.34       249562.36
  1994          30            124594.17       120919.10       245513.27
  1994          31            124670.82       119802.75       244473.57
  1994          32            122814.74       117182.32       239997.06
  1994          33            114649.46       110266.33       224915.79
  1994          34            119685.32       114094.04       233779.36
  1994          35            109669.35       106766.60       216435.95
  1994          36            102626.81        98506.43       201133.24
  1994          37            101530.16        96066.93       197597.09
  1994          38             97934.37        92245.35       190179.72
  1994          39             94737.69        89193.19       183930.88
  1994          40             91450.35        86890.23       178340.58
  1994          41             85434.13        81404.99       166839.12
  1994          42             82088.12        76538.91       158627.03
  1994          43             77851.25        75644.12       153495.37
  1994          44             85296.04        81357.28       166653.32
  1994          45             74076.29        69834.76       143911.05
  1994          46             69428.00        64605.07       134033.07
  1994          47             67782.98        62782.76       130565.74
  1994          48             68337.88        65584.27       133922.15
  1994          49             67067.46        63559.68       130627.14
  1994          50             64335.24        60839.48       125174.72
  1994          51             61620.10        57307.90       118928.00
  1994          52             60604.79        54943.00       115547.79
  1994          53             55507.63        53245.39       108753.02
  1994          54             59424.66        55676.78       115101.44
  1994          55             51240.46        46521.79        97762.25
  1994          56             50384.96        44755.04        95140.00
  1994          57             48889.25        43128.73        92017.98
  1994          58             46239.95        42365.83        88605.78
  1994          59             44797.31        40606.22        85403.53
  1994          60             44361.97        39727.69        84089.66
  1994          61             45317.20        38702.65        84019.85
  1994          62             47206.95        38606.35        85813.30
  1994          63             43150.31        38698.57        81848.88
  1994          64             48410.82        41393.43        89804.25
  1994          65             42922.59        36155.36        79077.95
  1994          66             41267.58        35712.09        76979.67
  1994          67             38734.36        33074.38        71808.74
  1994          68             32892.26        27271.57        60163.83
  1994          69             31139.96        26088.58        57228.54
  1994          70             28443.92        22786.40        51230.32
  1994          71             26291.98        20854.07        47146.05
  1994          72             27150.28        20689.37        47839.65
  1994          73             23664.10        18980.18        42644.28
  1994          74             25903.34        19401.46        45304.80
  1994          75             22026.82        15895.83        37922.65
  1994          76             21434.61        15054.78        36489.39
  1994          77             20555.66        14223.19        34778.85
  1994          78             18646.29        12806.46        31452.75
  1994          79             17080.37        11706.35        28786.72
  1994          80             17521.20        10844.67        28365.87
  1994          81             15712.86         9229.24        24942.10
  1994          82             13672.14         8221.75        21893.89
  1994          83             12310.63         7128.96        19439.59
  1994          84             10512.12         5806.84        16318.96
  1994          85              9085.25         4891.55        13976.80
  1994          86              7730.68         4087.82        11818.50
  1994          87              6812.98         3217.98        10030.96
  1994          88              5525.02         2488.95         8013.97
  1994          89              4402.41         1974.11         6376.52
  1994          90              3571.41         1540.81         5112.22
  1994          91              2820.26         1198.26         4018.52
  1994          92              2176.41          888.81         3065.22
  1994          93              1695.87          675.42         2371.29
  1994          94              1181.53          450.71         1632.24
  1994          95               822.29          268.45         1090.74
  1994          96               611.38          174.30          785.68
  1994          97               413.06          123.72          536.78
  1994          98               275.59           89.02          364.61
  1994          99               184.46           45.46          229.92
  1994         100               111.91           30.66          142.57
  1994         101                76.67           23.35          100.02
  1994         102                47.54           13.58           61.12
  1994         103                32.67            8.34           41.01
  1994         104                24.13            4.78           28.91
  1994         105                15.13            3.44           18.57
  1994         106                 8.38            3.11           11.49
  1994         107                 4.84            3.34            8.18
  1994         108                 2.99            0.45            3.44
  1994         109                 1.38            0.55            1.93
  1994         110+                4.00            1.45            5.45
  1995           0            132577.96       138010.56       270588.52
  1995           1            132859.37       138995.78       271855.15
  1995           2            135771.99       141464.10       277236.09
  1995           3            137288.82       143379.35       280668.17
  1995           4            136140.37       142215.77       278356.14
  1995           5            141773.00       147552.13       289325.13
  1995           6            143854.16       149911.71       293765.87
  1995           7            144911.40       151429.96       296341.36
  1995           8            129040.26       133180.74       262221.00
  1995           9            122185.96       126224.16       248410.12
  1995          10            119832.20       124548.16       244380.36
  1995          11            120204.72       124457.85       244662.57
  1995          12            125366.83       128574.99       253941.82
  1995          13            127694.86       131221.44       258916.30
  1995          14            120717.74       125384.47       246102.21
  1995          15            118670.56       121860.83       240531.39
  1995          16            115517.69       117771.60       233289.29
  1995          17            115124.84       118632.46       233757.30
  1995          18            113514.49       115665.49       229179.98
  1995          19            118740.63       120929.18       239669.81
  1995          20            124126.68       127272.26       251398.94
  1995          21            124895.19       127617.35       252512.54
  1995          22            122380.37       121208.41       243588.78
  1995          23            121932.32       119740.02       241672.34
  1995          24            119573.12       118516.50       238089.62
  1995          25            120981.77       119589.51       240571.28
  1995          26            122381.81       119741.73       242123.54
  1995          27            123056.24       119427.00       242483.24
  1995          28            123454.73       118605.15       242059.88
  1995          29            126230.40       121030.86       247261.26
  1995          30            127453.34       122454.95       249908.29
  1995          31            124878.25       121283.08       246161.33
  1995          32            124691.70       119903.10       244594.80
  1995          33            122780.26       116987.16       239767.42
  1995          34            114872.28       110560.41       225432.69
  1995          35            120412.36       114904.34       235316.70
  1995          36            109557.55       106321.91       215879.46
  1995          37            102027.37        97944.57       199971.94
  1995          38            101164.04        95771.13       196935.17
  1995          39             97631.50        92063.57       189695.07
  1995          40             94600.96        89240.13       183841.09
  1995          41             91094.04        86716.22       177810.26
  1995          42             85188.10        81144.34       166332.44
  1995          43             81956.51        76414.39       158370.90
  1995          44             77785.45        75698.10       153483.55
  1995          45             85085.06        81267.47       166352.53
  1995          46             73986.80        69784.64       143771.44
  1995          47             69448.07        64719.92       134167.99
  1995          48             67458.92        62621.62       130080.54
  1995          49             67897.71        65183.56       133081.27
  1995          50             66521.44        63028.45       129549.89
  1995          51             63947.51        60441.49       124389.00
  1995          52             61364.82        56887.93       118252.75
  1995          53             60335.52        54462.31       114797.83
  1995          54             55082.71        52663.24       107745.95
  1995          55             59005.03        55102.67       114107.70
  1995          56             50994.46        46219.00        97213.46
  1995          57             50244.50        44698.26        94942.76
  1995          58             49194.35        43294.80        92489.15
  1995          59             45909.44        41856.62        87766.06
  1995          60             44492.49        40188.25        84680.74
  1995          61             43716.32        38885.27        82601.59
  1995          62             44547.30        37987.68        82534.98
  1995          63             46468.58        38006.80        84475.38
  1995          64             42685.00        38078.86        80763.86
  1995          65             47789.31        40669.65        88458.96
  1995          66             42347.33        35363.99        77711.32
  1995          67             40507.82        34612.95        75120.77
  1995          68             37828.06        31951.21        69779.27
  1995          69             32214.59        26444.36        58658.95
  1995          70             30401.20        25236.00        55637.20
  1995          71             27937.13        22112.60        50049.73
  1995          72             25674.55        20058.45        45733.00
  1995          73             26430.88        19798.97        46229.85
  1995          74             22980.91        18063.74        41044.65
  1995          75             25010.60        18382.97        43393.57
  1995          76             21229.87        14985.66        36215.53
  1995          77             20652.05        14174.06        34826.11
  1995          78             19682.20        13319.37        33001.57
  1995          79             17818.96        11914.99        29733.95
  1995          80             17681.26        11089.72        28770.98
  1995          81             16446.60         9853.93        26300.53
  1995          82             14695.70         8372.09        23067.79
  1995          83             12676.51         7360.19        20036.70
  1995          84             11325.90         6314.21        17640.11
  1995          85              9553.46         5107.55        14661.01
  1995          86              8184.73         4233.73        12418.46
  1995          87              6878.72         3495.01        10373.73
  1995          88              5994.68         2728.61         8723.29
  1995          89              4777.12         2071.15         6848.27
  1995          90              3744.85         1621.36         5366.21
  1995          91              3015.41         1243.41         4258.82
  1995          92              2337.68          949.95         3287.63
  1995          93              1785.26          697.68         2482.94
  1995          94              1376.92          525.14         1902.06
  1995          95               929.23          349.38         1278.61
  1995          96               630.00          204.64          834.64
  1995          97               471.70          126.98          598.68
  1995          98               322.68           87.60          410.28
  1995          99               206.30           63.70          270.00
  1995         100               127.79           31.15          158.94
  1995         101                74.17           23.11           97.28
  1995         102                57.38           15.35           72.73
  1995         103                33.84            9.45           43.29
  1995         104                19.91            7.89           27.80
  1995         105                15.75            4.78           20.53
  1995         106                 9.21            2.89           12.10
  1995         107                 5.00            1.55            6.55
  1995         108                 3.92            1.89            5.81
  1995         109                 1.91            0.00            1.91
  1995         110+                3.46            2.00            5.46
  1996           0            128693.95       134359.32       263053.27
  1996           1            132130.30       137479.69       269609.99
  1996           2            132711.27       138766.32       271477.59
  1996           3            135809.71       141375.64       277185.35
  1996           4            137526.39       143520.60       281046.99
  1996           5            136989.15       143067.44       280056.59
  1996           6            141927.62       147653.91       289581.53
  1996           7            142994.65       148969.40       291964.05
  1996           8            143648.24       149958.54       293606.78
  1996           9            129904.40       133851.11       263755.51
  1996          10            122239.16       126477.12       248716.28
  1996          11            119906.94       124886.56       244793.50
  1996          12            120388.32       124927.42       245315.74
  1996          13            125292.47       128399.04       253691.51
  1996          14            127448.55       130687.09       258135.64
  1996          15            120614.05       125158.14       245772.19
  1996          16            118624.37       121815.64       240440.01
  1996          17            115461.56       117548.72       233010.28
  1996          18            114666.89       117795.47       232462.36
  1996          19            113548.70       115182.02       228730.72
  1996          20            118878.04       120463.71       239341.75
  1996          21            124141.18       126811.28       250952.46
  1996          22            124614.68       126998.99       251613.67
  1996          23            122505.03       121254.12       243759.15
  1996          24            122118.07       119949.99       242068.06
  1996          25            119321.80       118106.28       237428.08
  1996          26            121169.45       119604.13       240773.58
  1996          27            122133.13       119622.78       241755.91
  1996          28            122634.43       119014.22       241648.65
  1996          29            123361.89       118508.34       241870.23
  1996          30            126475.47       121226.02       247701.49
  1996          31            127723.09       122539.16       250262.25
  1996          32            125162.22       121626.60       246788.82
  1996          33            124704.36       119986.48       244690.84
  1996          34            122732.72       116796.12       239528.84
  1996          35            115066.26       110858.92       225925.18
  1996          36            121112.96       115718.26       236831.22
  1996          37            109426.26       105873.19       215299.45
  1996          38            101413.00        97368.25       198781.25
  1996          39            100790.52        95458.52       196249.04
  1996          40             97328.32        91855.33       189183.65
  1996          41             94459.47        89252.31       183711.78
  1996          42             90734.56        86502.50       177237.06
  1996          43             84941.28        80854.95       165796.23
  1996          44             81804.45        76252.33       158056.78
  1996          45             77710.89        75693.31       153404.20
  1996          46             84883.94        81123.25       166007.19
  1996          47             73903.86        69711.39       143615.25
  1996          48             69474.63        64806.87       134281.50
  1996          49             67135.65        62409.70       129545.35
  1996          50             67443.49        64727.21       132170.70
  1996          51             65975.89        62473.11       128449.00
  1996          52             63564.67        60001.06       123565.73
  1996          53             61092.35        56401.20       117493.55
  1996          54             60036.10        53943.55       113979.65
  1996          55             54620.92        52040.59       106661.51
  1996          56             58547.88        54471.54       113019.42
  1996          57             50728.27        45860.44        96588.71
  1996          58             50098.52        44568.97        94667.49
  1996          59             49485.67        43384.15        92869.82
  1996          60             45540.60        41284.67        86825.27
  1996          61             44140.37        39686.86        83827.23
  1996          62             43047.44        37985.46        81032.90
  1996          63             43748.59        37187.41        80936.00
  1996          64             45651.32        37289.51        82940.83
  1996          65             42153.62        37351.54        79505.16
  1996          66             47128.06        39794.55        86922.61
  1996          67             41707.54        34433.06        76140.60
  1996          68             39692.63        33475.79        73168.42
  1996          69             36877.24        30804.47        67681.71
  1996          70             31516.95        25507.80        57024.75
  1996          71             29614.20        24283.60        53897.80
  1996          72             27330.39        21395.78        48726.17
  1996          73             24968.56        19265.76        44234.32
  1996          74             25608.46        18862.91        44471.37
  1996          75             22228.88        17067.20        39296.08
  1996          76             24069.86        17327.62        41397.48
  1996          77             20370.26        14092.12        34462.38
  1996          78             19751.59        13289.33        33040.92
  1996          79             18683.83        12356.53        31040.36
  1996          80             17833.16        10786.35        28619.51
