age,S_base,S_cchange,S_Cchange
0,1.0,1.0,1.0
1,0.9859959286809381,0.9860430086681259,0.9860157911554598
2,0.9832197177895179,0.9833185527548762,0.9832614144244317
3,0.9819448810802841,0.9821008613238735,0.9820106851366468
4,0.9808684613156706,0.981087501992332,0.980960867226576
5,0.9798139960969533,0.9801026124359083,0.9799357511378985
6,0.9787570385861263,0.9791224193756722,0.9789111737982423
7,0.9776936276627303,0.9781437078929777,0.9778834884025066
8,0.9766225036837264,0.9771660424859757,0.9768517823849688
9,0.9755426972529452,0.9761893634294917,0.9758154693636708
10,0.9744531955101824,0.9752136618041827,0.9747739590833419
11,0.9733528884911804,0.9742389355604986,0.973726607828389
12,0.9722405524810526,0.973265183578529,0.972672706243117
13,0.9711148374128337,0.9722924048648927,0.9716114716465878
14,0.9699742537621645,0.9713205984441572,0.9705420403355945
15,0.9688171582196002,0.9703497633441572,0.9694634592039693
16,0.9676417379303635,0.969379898594009,0.9683746765188046
17,0.9664459931498663,0.9684110032238412,0.9672745317568161
18,0.965227718160289,0.9674430762647575,0.966161744405347
19,0.9639844802814163,0.9664761167488306,0.9650349016248886
20,0.9627135967949126,0.965510123709101,0.9638924446605125
21,0.9614121095862355,0.9645450961795756,0.9627326538792098
22,0.9600767572926667,0.9635810331952268,0.9615536322989074
23,0.9587039447295742,0.9626179337919916,0.9603532874628832
24,0.9572897093501632,0.9616557970067702,0.9591293115004081
25,0.9558296844768558,0.960694621877426,0.9578791592007214
26,0.9543190590253089,0.9597344074427838,0.9566000239129051
27,0.9527525334253506,0.958775152742629,0.9552888110689266
28,0.9511242714272573,0.9578168568177068,0.9539421091111314
29,0.9494278474674565,0.9568595187097213,0.9525561575889203
30,0.9476561892557416,0.9559031374613342,0.9511268121724228
31,0.9458015152374517,0.9549477121161642,0.9496495063139048
32,0.9438552665801009,0.953993241718786,0.948119209270774
33,0.9418080333362482,0.9530397253147289,0.9465303801877873
34,0.9396494744449884,0.9520871619504766,0.9448769179209983
35,0.9373682312557552,0.9511355506734656,0.9431521062728178
36,0.9349518342931946,0.9501848905320844,0.9413485542972291
37,0.9323866030343163,0.949235180575673,0.939458131327845
38,0.9296575385434255,0.9482864198545213,0.9374718963805736
39,0.9267482089117661,0.9473386074198685,0.9353800215889574
40,0.9236406275837714,0.946391742323902,0.9331717093459876
41,0.9203151248278644,0.9454458236197568,0.9308351028540884
42,0.91675021283583,0.9445008503615139,0.928357189828323
43,0.9129224452213469,0.9435568216042001,0.925723699160717
44,0.9088062720474854,0.9426137364037865,0.92291899044078
45,0.9043738919588132,0.9416715938171879,0.9199259363446387
46,0.8995951035420865,0.9407303929022617,0.9167257980596178
47,0.8944371587081225,0.9397901327178066,0.9132980941108259
48,0.8888646216959194,0.9388508123235626,0.9096204632109791
49,0.8828392382694435,0.9379124307802091,0.9056685220755916
50,0.8763198208296789,0.9369749871493647,0.9014157195457762
51,0.8692621565213835,0.9360384804935854,0.8968331888551337
52,0.8616189469958538,0.9351029098763647,0.8918896004823068
53,0.8533397903144737,0.9341682743621318,0.8865510187654011
54,0.844371217552811,0.933234573016251,0.8807807663388794
55,0.8346567989904256,0.9323018049050209,0.8745393015091959
56,0.8241373373296789,0.9313699690956727,0.8677841149342727
57,0.8127511681360002,0.930439064656368,0.8604696534350942
58,0.8004345905570809,0.9295090906561889,0.8525472804638247
59,0.7871224542388542,0.9285800461650917,0.8439652846954139
60,0.7727489310317363,0.927651930253671,0.834668950403427
61,0.7572485023148634,0.9267247419919435,0.8246007057169278
62,0.7405571942071273,0.9257984804430492,0.8137003675047217
63,0.7226140931148255,0.9248731446306394,0.8019055044386608
64,0.7033631723861636,0.9239487333699866,0.7891519426524671
65,0.6827554565540713,0.9230252443933398,0.7753744411879493
66,0.6607515418493322,0.9221026698203103,0.7605075668901206
67,0.6373244793134986,0.9211809726998722,0.7444868002746413
68,0.6124630087912757,0.9202599655259098,0.7272499047383056
69,0.5861751071681722,0.9193386810936846,0.7087385907847804
70,0.5584917813870964,0.9184121143186393,0.688900504021103
71,0.5294709952943771,0.9174543496236469,0.6676915597218677
72,0.49920156911845953,0.9163312046634797,0.6450786367854249
73,0.4678068322787286,0.9143484664683402,0.6210426288236132
74,0.43544774667684305,0.9079293625715527,0.595581828771147
75,0.4023251531350047,0.8790382984720782,0.5687155946498564
76,0.36868073535106377,0.7464823607189199,0.540488207063251
77,0.3347962538517703,0.32124342278458373,0.5109727831769976
78,0.30099059034419495,0.004077089418989708,0.4802750577193046
79,0.2676141766954958,6.036879509035609e-13,0.4485367805281854
80,0.23504047989973437,6.70503081309718e-64,0.4159384157877557
81,0.2036543907918037,0.0,0.38270076610351106
82,0.1738376302996006,0.0,0.3490850936142456
83,0.14595164176300202,0.0,0.3153912822459762
84,0.12031886255069323,0.0,0.2819535948148462
85,0.0972037202668544,0.0,0.24913364290687057
86,0.07679510853329406,0.0,0.21731032328704314
87,0.059192370460519804,0.0,0.18686669561772803
88,0.04439684762348685,0.0,0.15817408774117114
89,0.03231074216119128,0.0,0.13157410739483297
90,0.022744336625187725,0.0,0.10735968264483499
91,0.015431548058263207,0.0,0.08575669126517833
92,0.010052495834316165,0.0,0.06690808893835974
93,0.006260484314509934,0.0,0.050862605143440105
94,0.003709860317452967,0.0,0.037569939469941326
95,0.0020809072769318185,0.0,0.026883881876801047
96,0.0010984610186282537,0.0,0.0185738827579345
97,0.000542226417532476,0.0,0.012344393991599917
98,0.0002485287007319881,0.0,0.007859985423272597
99,0.00010495080170818803,0.0,0.004773103263368372
100,4.048234145405008e-5,0.0,0.0027507009337048426
101,1.4127972322323612e-5,0.0,0.0014960914857560868
102,4.4142514997340326e-6,0.0,0.0007633126315117478
103,1.22052096707615e-6,0.0,0.0003628738076404996
104,2.948227027750432e-7,0.0,0.0001595474455066583
105,6.133854496163947e-8,0.0,6.434841637942921e-5
106,1.0820398910559483e-8,0.0,2.3591588570671145e-5
107,1.590572588292634e-9,0.0,7.783783165147843e-6
108,1.9113254468235234e-10,0.0,2.2857207006202578e-6
109,1.838151080651976e-11,0.0,5.90109650864231e-7
110,1.3820365040483684e-12,0.0,1.321411056564778e-7
