age,year,forecast,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC,mortality,survival
0,1948,0,56.089146567894375,11.61747832855952,21.08310890147239,0.7017497172105777,47.82721671106244,-2123.7159076340877,0.13819935016739704,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,69.91090690982102,6.277446693244058,11.53030675188786,0.9543065867951539,118.21826243693366,-2080.8269765988375,NaN,0.8504311749672842,0.48129007189422296,0.8714704960937503,0.002630280122186133,3.6830380249288592,-74.43060672207143,-0.03857235737402116,0.4272306810544681,-0.20562188520014263,-0.37231893356518264,-0.0011237363679528266,-1.5735068437394077,31.799038801170685,NaN,0.21244267992073504,1.0
1,1948,0,63.5591910073283,5.450203411047411,16.066608147286235,0.8081842451486598,54.851257598661114,-2382.7408927961988,0.17522380860065206,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,72.49729143492581,1.8938028096074258,5.62348770913858,0.9665575229816016,82.04494380636012,-1573.9922045741266,NaN,1.2322809012248872,0.29244674975004886,0.8611270580596846,0.00416243993605741,5.490131509577658,-108.19361785032469,-0.049583230995463745,0.2916266469322411,-0.08528526503588396,-0.2511275965243667,-0.0012138784015938832,-1.6010686433570334,31.55214199315267,NaN,0.08876795120388767,0.8679496157780041
2,1948,0,66.42833185535625,2.3564874581661246,9.615765219188033,0.8573350359479118,57.92796192555079,-2461.8280866974965,0.20388936729976992,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,72.71997610707275,0.702797304561614,2.8829085637333076,0.9698823832174163,69.37360749904,-1416.667377676803,NaN,1.4430716189240838,0.1494674605242866,0.609448270506863,0.00541602358475007,6.87996299114005,-132.02450694554747,-0.0539124008749196,0.23620112343950145,-0.03530438209349954,-0.1439523661720435,-0.001279270855281561,-1.625054987728107,31.18433686209082,NaN,0.03762178504897084,0.8178298650754658
3,1948,0,67.1336440789762,0.9849270586667042,5.134448230625697,0.8790690311793586,59.113992867802715,-2457.801220965158,0.22858476142188505,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,72.20629180576199,0.2783738091555368,1.457198134230122,0.9710404922420796,64.25027835174191,-1347.1797066380489,NaN,1.5415100564419575,0.06822431915624812,0.3554484198385237,0.0062432000470468785,7.698272257184269,-143.7536191146099,-0.054288228261565825,0.21405761816419575,-0.014603935259452654,-0.07608644213099319,-0.0013364045318013252,-1.6478738233451298,30.771557310156485,NaN,0.01647248622713685,0.7972305396541586
4,1948,0,66.90276434643077,0.40588949955164555,2.5755382162574834,0.8887491991135511,59.46133880655812,-2418.739031988332,0.25197550888123643,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,71.41819941696086,0.11298140167252906,0.719388050753941,0.9714569645793363,61.960280297176965,-1307.6033125524878,NaN,1.5812298708158525,0.02935649058037087,0.18618972397560044,0.006762720343132676,8.119799067834238,-147.4858923851865,-0.05331602674380005,0.20572193115610266,-0.006039273934173009,-0.03830330957785624,-0.0013912398888681838,-1.6704207448341124,30.341082599697682,NaN,0.007729729936990684,0.788142077238002
5,1948,0,66.28005131466766,0.16627361661256126,1.2433562521080066,0.8932989466471429,59.44139664026086,-2365.690013563561,0.2754403220561752,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,70.52137627112599,0.046300204514007,0.3472490644839538,0.9715829992183652,60.79198541497694,-1279.3868569895337,NaN,1.5939106504437834,0.01229339673133636,0.09188911183293592,0.007119464796123568,8.334839486486885,-147.2141066754409,-0.051975791081943896,0.20312968725574526,-0.0024971538333268743,-0.018665406549003505,-0.0014461746574656684,-1.693053338214434,29.903555448576007,NaN,0.004118504203747188,0.7836928417927785
6,1948,0,65.49533053832842,0.06793854716915185,0.5849581189002511,0.8956837713384288,59.25455232248545,-2307.431979299469,0.299663655872638,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,69.58046278997645,0.019048541891879392,0.16443805067668815,0.9715851352170419,60.074443633208794,-1255.6982410425844,NaN,1.5948184174664748,0.0050874666809291235,0.043787507847200875,0.007402179936477574,8.455069384655195,-145.1784002097323,-0.05050456993597349,0.20294537649259786,-0.0010324778409589173,-0.008886472265789487,-0.0015022381940621454,-1.7159172395383608,29.46328508917178,NaN,0.0026300313994428496,0.7811378687857956
7,1948,0,64.64373807841942,0.027726258857046566,0.27012103227107065,0.8971474154519745,58.983783405120825,-2247.5547773307767,0.3249928740014909,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,68.621533713101,0.007849400752256527,0.07665106377146116,0.9715284562882267,59.53630491830473,-1233.8750937470595,NaN,1.5906621501636182,0.002094685235571437,0.020400515991238457,0.007654441316804458,8.533613232914654,-142.4111241526067,-0.048936714595527904,0.2037906270520343,-0.00042687721763283833,-0.004157433945731287,-0.001559903395678082,-1.7390703917567534,29.022052290199245,NaN,0.002019976679688719,0.7793589217686567
8,1948,0,63.764346300779714,0.01130829270254115,0.12297468211961513,0.8982061821022101,58.66265273929921,-2187.5154407567065,0.3516170160327744,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,67.65525465430333,0.0032366459167375364,0.03527246528070197,0.9714386094748608,59.06620790917583,-1212.8554334779499,NaN,1.5842740209603006,0.0008605147463330972,0.00935500384486664,0.007895847481291688,8.593672476714712,-139.35191136315322,-0.04726515494911052,0.20509663494031763,-0.00017648867878473568,-0.0019186798083067978,-0.001619411748449422,-1.7625333067526772,28.580608093092497,NaN,0.0017737515894813145,0.7778965074485712
9,1948,0,62.87316096804322,0.004610360625196304,0.05535674910566866,0.8990725841817394,58.30415449180645,-2127.904244225418,0.37965375555060576,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,66.6860181613841,0.0013349594906589823,0.01606020035077777,0.9713252987729403,58.61794002288872,-1192.2112815380763,NaN,1.576828335911519,0.0003531279565810422,0.004238811550409468,0.008134892724724499,8.644993085794697,-136.18235569890726,-0.0454782277917275,0.206629419121549,-7.296662456801286e-5,-0.0008758631685253048,-0.0016809081583261862,-1.7863098996268343,28.139281052657154,NaN,0.0016785823206034005,0.7765609218429265
10,1948,0,61.97674450858726,0.0018790797467541258,0.02468982923245483,0.8998328120654044,57.912745207499086,-2068.960952168501,0.40918625846728796,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,65.7156437099098,0.0005506617160315107,0.007248420988434499,0.9711916358268925,58.17198634445655,-1171.769104992885,NaN,1.5688071974330493,0.0001448272056436998,0.0019024223186270466,0.008375191013406034,8.691564022533537,-132.97691936494397,-0.04356609689666593,0.20829348724449098,-3.016656370970375e-5,-0.00039626217907046287,-0.0017444977425161866,-1.8103961798615502,27.698226257531704,NaN,0.0016465251360121603,0.7752734553548095
11,1948,0,61.0778026784053,0.0007656725720876521,0.01092736953256489,0.9005205595577822,57.48932625434559,-2010.7839029189784,0.44028540536266614,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,64.74489256750617,0.00022715178936553648,0.003247303637655653,0.9710379379251514,57.71978345729083,-1151.4580171133819,NaN,1.560406575468719,5.937419043044382e-5,0.0008471501382329819,0.008618254127570142,8.73495906040824,-129.76645239844288,-0.04152095445399002,0.2100506523948937,-1.2471587425396218e-5,-0.00017794443915147707,-0.0018102699020111426,-1.8347838492793496,27.25752798527829,NaN,0.0016412691454556895,0.7740011264566351
12,1948,0,60.17746901036455,0.0003119126686665744,0.004804660413443205,0.9011476436709973,57.03330103412569,-1953.414436071195,0.473012924713732,101.85885143164818,0.35302303574024135,0.648426675918588,0.9974303521455027,-223.8114338803131,-170.49428270455354,NaN,63.774090860349816,9.370209637673226e-5,0.0014456711847341173,0.9708632802962374,57.25724367662187,-1131.248617181451,NaN,1.5517046802500813,2.43337245097185e-5,0.00037474300201390594,0.008864693292405062,8.775745671360207,-126.56420439442256,-0.03933633512572577,0.21188646711186232,-5.155986924448957e-6,-7.94029708825971e-5,-0.0018783085437676238,-1.8594617465765972,26.817242131966555,NaN,0.0016478637388092614,0.7727297795918093
