code,name,parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
BEL,Belgium,B,1903,2.2946266681839926,1.2403161829894347,2.259599290037656,3.832368208304328,0,Float64,0.3369731266209062,3.032657176711681,1.7525234150492954,2.646232074111072,1.965755147657988,2.508512929267998,2.016442615915234,0.00548379096934758,195.71401464592694,1.044619134162701,0.0059381116684315465
BEL,Belgium,B,1908,2.0210089788655927,1.4814789010407032,2.0097333482325532,2.712045885017939,0,Float64,0.16890599272447268,2.3779661031061834,1.7235374693575676,2.1986672293906437,1.8652347888153484,2.1314635580600876,1.880434175614272,0.003236636522434426,239.65206546709626,1.0343220355349136,0.007271225460723548
BEL,Belgium,B,1913,2.0003273095319978,1.4896171349935168,1.9952719982469498,2.577932488813694,0,Float64,0.14446534485523257,2.296243618128256,1.7434007853407218,2.150144706372254,1.8603779184564135,2.098649200029951,1.8799893721347447,0.0029813070917915296,245.43242341185982,1.039262575560211,0.007446605905612019
BEL,Belgium,B,1918,1.9761490356537006,1.459089184170722,1.9725160908583947,2.522166873837269,0,Float64,0.13465305386998236,2.2519957692661765,1.7326105967203427,2.115705012505044,1.8539989335453049,2.0689048104234447,1.8645926081961681,0.0027121511834103836,288.7909572516212,1.0344855766997765,0.008762136713080074
BEL,Belgium,B,1923,1.9751450620718265,1.4984209387868865,1.9696048045518149,2.4832393303995506,0,Float64,0.1277570216954593,2.2373219537567555,1.7430474231261788,2.1092174520042892,1.8602123690573473,2.0622597677740506,1.8671439638569176,0.0025235039083360976,366.95519311199274,1.031151461754817,0.011133698922644954
BEL,Belgium,B,1928,1.960686275401182,1.5220126970521417,1.9566383436631616,2.4899666105672904,0,Float64,0.12063724597016391,2.20499283315898,1.7395332035464277,2.087305492844195,1.8519678497730643,2.0435445078917875,1.8594620604685512,0.0024310120952138873,374.6864995495932,1.03105441203386,0.011368272624749995
BEL,Belgium,B,1933,1.9524337510514167,1.5262969185955753,1.94967423908354,2.4308125764976656,0,Float64,0.11667205249927753,2.1850407457016323,1.7395594261996101,2.0759658897377444,1.8481209756674568,2.0316142707757883,1.8569011997742801,0.0024602400947963212,315.8192222385925,1.0335539028112821,0.009582194775794462
BEL,Belgium,B,1938,1.9404434474885446,1.5211540768003933,1.9365115666704278,2.366492534989931,0,Float64,0.11187776478011485,2.166722835100503,1.7299617905619586,2.0574525233254395,1.841195519449021,2.016625401214777,1.8503756416831163,0.0022711194895469085,411.74020718415755,1.028021216519673,0.012492510222458673
BEL,Belgium,B,1943,1.9318556924686736,1.4847110157630174,1.9263573643757481,2.356620387144959,0,Float64,0.10887961399136374,2.1498624020002692,1.723197244282526,2.046091771349566,1.832480341754559,2.0061309664877847,1.8556325106293319,0.002090369960913288,486.22138451750914,1.021154537169753,0.014752325642431709
BEL,Belgium,B,1948,1.9391883162374572,1.458604024426504,1.9346627441296969,2.3635725949927893,0,Float64,0.10753267239827204,2.1586108425622124,1.7360852899912287,2.0517745943912606,1.8434355014888226,2.0132947310272247,1.8541362513446162,0.002203677589206555,334.319995981477,1.0287883891019134,0.010143522285407842
BEL,Belgium,B,1953,1.9500692921813263,1.5304766189676808,1.9466630704218892,2.3614748160088896,0,Float64,0.10564972516512791,2.165254782330168,1.754613642499234,2.0612198818995853,1.8518794534112093,2.0225070135525867,1.862464398543886,0.002241320643059662,284.3860352497919,1.0335338932965996,0.008628488038073766
BEL,Belgium,B,1958,1.9573098445750992,1.5862618955496015,1.9530714851167477,2.371869617963673,0,Float64,0.10569595732442594,2.1741624275166385,1.7714297403909147,2.067279576322558,1.8589298453829706,2.0306329769471088,1.8679299576336725,0.0023618302168623615,211.34304692720053,1.0434174359152777,0.006412308363663743
BEL,Belgium,B,1963,1.9612415037407824,1.5856649541191385,1.956316158590314,2.4129909300933234,0,Float64,0.1067794684977295,2.179299548880756,1.770021537704972,2.07354278218301,1.8598655212546757,2.0344154813135247,1.8690687619242694,0.002389481587792579,210.05145751848926,1.0422640991576875,0.006373120561233924
BEL,Belgium,B,1968,1.9574365399612588,1.5952743115901713,1.9516979035851312,2.3720330606822153,0,Float64,0.10760867587000665,2.179011618681934,1.7696539693288285,2.070462059257412,1.85478716095109,2.0308202623245464,1.8641948754746802,0.0025256874504787506,187.6220499822495,1.0449469628213819,0.005692595322160435
BEL,Belgium,B,1973,1.958331408086139,1.6184664483880526,1.9537048069512672,2.3971094696286688,0,Float64,0.11147236735568342,2.187318986606281,1.766170396463141,2.0756814125486835,1.8394072254691145,2.0343583905280864,1.865002012742151,0.0028175919262065203,143.64600520479965,1.057488479641296,0.004358328764413557
BEL,Belgium,B,1978,1.9608883320881618,1.588823291245032,1.9557674304873325,2.3680536496090645,0,Float64,0.11392624799930452,2.2009917780777104,1.765030600825881,2.083133047553103,1.8444409736887024,2.0380915540368942,1.865292626632784,0.0028403499743884517,151.15899607714883,1.0543906866959565,0.004586278606659792
BEL,Belgium,B,1983,1.96523515151805,1.593899417303757,1.96058454528835,2.455529307676525,0,Float64,0.11956681676513198,2.2181848252410643,1.7657364769856914,2.0918497541725447,1.838015268729732,2.043912023452117,1.864487556882706,0.0030222160366838785,142.27469013550424,1.0581175679419557,0.004316722024963595
BEL,Belgium,B,1988,1.967606350399131,1.5785562848328827,1.9620780734735865,2.514458920131381,0,Float64,0.12432953675427273,2.234877344627229,1.7561138596114727,2.0971774046056315,1.8376571537203272,2.050224991702923,1.8645983755749778,0.0031205157956482347,145.86007973711713,1.0566727096854438,0.0044255054652692265
