code,parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
CAN,B,1923,1.809292867545672,1.3772136619530129,1.8087085452647857,2.388639176375175,0,Float64,0.12109030481385913,2.0641939447002597,1.5856449451092276,1.929708365227264,1.6849955206104397,1.8812111965367397,1.7268810895127222,0.0013079877336328585,3285.6675598762995,1.0013879350708486,0.21618730056505203
CAN,B,1928,1.811715838473744,1.3750052823990495,1.8101343914136814,2.3825733161178655,0,Float64,0.11386558820155512,2.0541393176753955,1.604756391254554,1.929026874553589,1.6933021537942472,1.8823154996021978,1.7342335550456736,0.0012022056147390804,2976.8323144850297,1.0010087198625994,0.19586684610525948
CAN,B,1933,1.8223619311360333,1.463696129198334,1.8191659164675227,2.3316750590836444,0,Float64,0.10979873688249589,2.055472568214208,1.622345516817892,1.9334311312392605,1.7086265860633396,1.888021043376286,1.7476030763726411,0.0012281507165355244,2612.0319006687064,1.0011874583984772,0.1718640475047419
CAN,B,1938,1.8216051551276473,1.4520772709075747,1.8185516311693495,2.3890355194792883,0,Float64,0.10598354813163115,2.049539129592785,1.6281207655080419,1.925959006936181,1.7129570643399916,1.8856178851939733,1.7477325547018503,0.0012351010872174843,2481.221819537634,1.001079348491367,0.16325712735500933
CAN,B,1943,1.8180664846537844,1.4778160378354457,1.81649409564519,2.4257319170301614,0,Float64,0.10285334300628773,2.0340818943845607,1.6287244617613537,1.9217027219221798,1.711720708497827,1.8794926140361536,1.748032338032996,0.001184750928836379,2429.7741913684754,1.0006387334067772,0.1598720241296594
CAN,B,1948,1.8102688761757968,1.4353094582732462,1.8106111658934514,2.2707878207635463,0,Float64,0.10074738403975254,2.025601104090342,1.6215908612741654,1.90820142789262,1.7055084055697167,1.870833929236099,1.7413818266476544,0.0012229397275441399,2176.2176537122964,1.0017693196873505,0.1431887467080769
CAN,B,1953,1.7979882660138038,1.4258641850240559,1.7973209999835096,2.217385301250335,0,Float64,0.09957838677015446,2.003075850594284,1.6136621344613131,1.893947560825899,1.6937882116826666,1.8674945561654723,1.7289796229066874,0.0013624108866247275,1839.5499001425403,1.0037314889970943,0.12103699474133627
CAN,B,1958,1.7808530137765721,1.406267569260116,1.7803454001340424,2.2252083481057006,0,Float64,0.0988847267773346,1.9809340491284368,1.5948046407658238,1.8784680928961774,1.6783587675116907,1.8506182415817922,1.7135627387476142,0.0013297581080390277,1919.0735941105252,1.00410224038924,0.12626942085158682
CAN,B,1963,1.7671383550810855,1.3917936879504822,1.7680961058966527,2.178296546772102,0,Float64,0.0996540794865491,1.9688360580860487,1.5750731287949242,1.8653478764239437,1.663381253313951,1.8283600339854176,1.6995277929362955,0.0013538703324177807,1949.5969451935089,1.0032109653177368,0.12827776793922646
CAN,B,1968,1.757113257763636,1.3903251402676702,1.7572499424984507,2.2063125996357114,0,Float64,0.10171913096502341,1.9671733863932521,1.5592988096724028,1.8548165040589013,1.653154094022623,1.8283147570724603,1.6891411365459137,0.001474647834130859,1650.1895890012354,1.0039211836890838,0.10857764097112761
