code,name,parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
BGR,Bulgaria,B,2018,2.4381625228502375,0.827707196350354,2.5754652217258998,5.274152825728054,0,Float64,0.6277709111555576,3.408774837118153,0.9973616964404574,2.9498172642639577,1.559565648704072,2.8836769214237763,2.2529722007744986,0.04812687789014686,12.455158729636395,1.522879505592848,0.0002626630826909869
BGR,Bulgaria,b,1948,1.0602334487963863,0.8683203082093909,1.002940361941178,1.307409415474969,0,Float64,0.10956132040797892,1.294445557346086,0.8973687159984064,1.1963255137564595,0.9721758982969542,1.1545542048470787,0.9768095345955994,0.01588168548770739,9.244820148448868,2.5081673868052574,0.00019496122143649436
BGR,Bulgaria,b,1953,1.1488846984840166,0.9720116902970847,1.0809868847017552,1.4036371916605896,0,Float64,0.11989358512457085,1.3601700321040515,1.0151520085193826,1.33091807497465,1.0411728032151264,1.2472399577196478,1.0449653769266452,0.016038213411387718,8.529364388567732,3.7495328132185053,0.00017987319088637004
BGR,Bulgaria,b,1958,1.227771970198713,1.0208213449502381,1.1605177022032631,1.5451516313592653,0,Float64,0.17037785673831377,1.526540019411073,1.0469632128543278,1.49503489405895,1.0725688903279762,1.3761202807848256,1.0746042953553248,0.021344259723315974,8.274121778960497,5.255735797263207,0.00017449045654080095
BGR,Bulgaria,b,1963,1.354684483695064,1.0452756453790604,1.2043305222349892,1.7878882075199047,0,Float64,0.23610101508799136,1.7836295490005178,1.0844093801173618,1.693169154252777,1.1476380020334032,1.5676482882750993,1.154480134820962,0.0268511085957828,8.266582345572438,5.317052873227829,0.00017433145970596024
BGR,Bulgaria,b,1968,1.4445479947427733,1.0987806970757206,1.3013113825156515,2.0828996815023393,0,Float64,0.28673368596010773,1.9600562285137626,1.1474070661579057,1.8821761693780705,1.182599935782365,1.657443480200408,1.1873264295737802,0.030117343783394764,8.235057106348505,5.731771972843915,0.00017366663345228704
BGR,Bulgaria,b,1973,1.5506508129063854,1.1445143163358775,1.415477101615132,2.5512461668683653,0,Float64,0.3481931402892687,2.3173877554445106,1.218354892629255,1.9928093036943357,1.2385746488608982,1.7983083792223558,1.2488187813866392,0.03317350410543291,8.223092336440294,6.230576490488237,0.00017341431203142058
BGR,Bulgaria,b,1978,1.663421646263665,1.2287794493737179,1.5273000800025978,3.0058990220645234,0,Float64,0.40532037798133574,2.5781956135149566,1.293234199227678,2.2087124307266204,1.319200766566966,1.93034540774403,1.3328537226652197,0.03530088345005119,8.238911840233698,5.6722913615858594,0.00017374792477158825
BGR,Bulgaria,b,1983,1.775139700206484,1.244193628969089,1.5270404960109458,3.3999555367860794,0,Float64,0.4723089418507391,3.0302980305943428,1.3554284470301248,2.37221982219765,1.4178506127097408,1.9960898803672749,1.4347730591773473,0.03774239739586675,8.244874718235023,5.462006510084924,0.00017387367410578273
BGR,Bulgaria,b,1988,1.871284498491584,1.3022412002390236,1.6084648254722045,3.7311972072724795,0,Float64,0.5324532052570039,3.3720031038774128,1.436631777582568,2.572087987319123,1.5011515905150503,2.079513547332085,1.5134627896414763,0.039608623931794214,8.310545761435897,4.827800539296567,0.00017525859091215235
BGR,Bulgaria,b,1993,1.9660675579684452,1.3552349296106603,1.650027658649041,5.451973166368843,0,Float64,0.6479356297368103,4.298475812917236,1.5068751633957036,2.605068067720102,1.559248977583681,2.1276009843841104,1.57857640544256,0.04212358506720547,8.663269366259675,3.235460254922711,0.00018269707253988472
BGR,Bulgaria,b,1998,2.069410711998068,1.391671273874467,1.690942559545058,6.312841193711865,0,Float64,0.8248121643181614,5.354023022057812,1.5463675397379875,2.596958311483327,1.6496839367964964,2.181005239302226,1.6654366397606488,0.045971133686996395,8.939362144560578,2.734242755415952,0.00018851950979912883
BGR,Bulgaria,b,2003,2.228815897038048,1.4814528623140995,1.799045966406054,7.634638636651926,0,Float64,0.9861794576728153,6.097733115969417,1.6436690079155083,2.7960201176884585,1.7364829246059248,2.30879295132879,1.766458095304176,0.04928569482459866,8.994439970870175,2.6552605860621763,0.00018968102945218426
BGR,Bulgaria,b,2008,2.4175441793867463,1.5460666332805622,1.8966309483916686,9.2990233618483,0,Float64,1.2661772185842495,7.344561566973343,1.7290565211402353,2.9187845616264823,1.8123574739124027,2.4947840337773375,1.8363456230158213,0.054622624425490936,9.008539869767404,2.6328838956417497,0.0001899783779637825
BGR,Bulgaria,b,2013,2.571111312903939,1.6167577426338604,2.0091377094630642,10.319265037710835,0,Float64,1.4775533177699627,8.676070445243013,1.8213803544322484,2.971094264235157,1.8771940520955095,2.6163136918810754,1.9025243077007536,0.05817547294032157,8.900820374571063,2.744741204007291,0.00018770671404617513
BGR,Bulgaria,b,2018,2.764685146087379,1.6634653889665707,2.0991231157487835,12.79116127490952,0,Float64,1.6551436689442895,8.540689676714532,1.9042484847446306,3.1519628675272764,1.9797316684147896,2.791665650023685,2.0185406666003187,0.06133727272848435,8.709679659526829,3.084312258811004,0.0001836758052050203
BGR,Bulgaria,C,1948,112.38408131851848,110.46991566714033,112.53914314069641,114.93692452746177,0,Float64,0.5592027771139981,113.35667467629338,111.21714369265348,112.73983632122163,111.71719214788867,112.6956408049861,111.93744556922704,0.0006109255356789865,27.28301042404491,1.1793377943831802,0.0005753631710865536
BGR,Bulgaria,C,1953,111.02029314607643,108.29829248334966,111.08316975415957,116.37435763041951,0,Float64,0.7920996517296356,112.02714125726939,109.44792004023867,111.7570251698996,110.15467764269223,111.6494835372697,110.47456093498018,0.0008022562005490078,19.109196627613546,1.3083253454081316,0.00040298807930998676
